City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Ambilobe,MG,68.65,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
180,Haines Junction,CA,73.35,overcast clouds,60.7522,-137.5108,Parkside Inn
181,Galesong,ID,78.82,clear sky,-5.3166,119.3661,Sapriadi Appy
186,Casper,US,66.79,clear sky,42.8666,-106.3131,Ramkota Hotel
188,Sterling,US,75.42,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
192,Gambela,ET,71.64,light rain,8.25,34.5833,Solomon Debebe Hotel
198,Ankang,CN,80.73,broken clouds,32.68,109.0172,安琪酒店
199,Butaritari,KI,81.36,clear sky,3.0707,172.7902,Isles Sunset Lodge
200,Cassilandia,BR,73.24,broken clouds,-19.1133,-51.7342,Delirius Motel
201,Saint-Joseph,RE,68.38,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
206,Sao Caetano De Odivelas,BR,73.96,few clouds,-0.75,-48.02,Hotel do Luttis
207,Guider,CM,79.39,overcast clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
209,Verkhnevilyuysk,RU,68.45,clear sky,63.4453,120.3167,Gostinitsa Mila
210,Belawan,ID,77.29,overcast clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
213,Norman Wells,CA,73.44,broken clouds,65.282,-126.8329,Heritage Hotel
216,Bambanglipuro,ID,80.51,broken clouds,-7.95,110.2833,Puri Brata
217,Caravelas,BR,72.07,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
219,Teguise,ES,66.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
220,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
221,Progreso,MX,82.51,broken clouds,21.2833,-89.6667,Playa Linda Hotel
223,Chernyshevskiy,RU,66.97,overcast clouds,63.0128,112.4714,Chernyseyskiy
224,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
228,Coro,VE,78.35,scattered clouds,11.4045,-69.6734,Federal
230,Katherine,AU,82.72,clear sky,-14.4667,132.2667,Pine Tree Motel
233,Tirthahalli,IN,70.34,overcast clouds,13.7,75.2333,Ashoka Lodge
234,Touros,BR,76.64,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
240,Bahia Honda,CU,74.17,moderate rain,22.9036,-83.1592,Casa Gualberto - Deysi
245,Sao Joao Da Barra,BR,71.73,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
247,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
248,Santa Cruz De La Palma,ES,68.14,few clouds,28.6835,-17.7642,H10 Taburiente Playa
250,Winnemucca,US,80.65,clear sky,40.973,-117.7357,Winners Inn Casino
251,Jalu,LY,79.79,clear sky,29.0331,21.5482,صاحبة الفخامة
253,Owando,CG,70.03,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
254,Waddan,LY,77.2,clear sky,29.1614,16.139,محل الشريف محمد العايب
256,Touba,CI,70.56,light rain,8.2833,-7.6833,Hotel de L'Amitié Vraie
257,Churapcha,RU,67.14,few clouds,62.0025,132.4325,"""Tusku"""
258,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
261,Impfondo,CG,70.39,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
263,Gondanglegi,ID,80.26,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
267,Sakaiminato,JP,75.18,few clouds,35.55,133.2333,Italian pasley
271,Rieti,IT,68.72,scattered clouds,42.4072,12.8592,Hotel Miramonti
